id,text
1624898564240334854,"b'@NFLUK Oslo, Norway'"
1624898057581080578,"b'@sjurgs @halvardhraavand \xc3\x89n ting er det initiale valget om \xc3\xa5 legge hovedstad med nasjonalforsamling i Vika, men vi ser stadig en villet perpetuering av maktkonsentrasjonen. Som eksempel senest ved etableringen av det nye Nasjonalmuseet. Hvorfor skal det legges til Oslo? Tenk om vi la det til Mosj\xc3\xb8en?'"
1624898048492011520,b'Hvorfor henger helikopter over Oslo sentrum n\xc3\xa5? Hverken VG eller @oslopolitiops gir noe svar.'
1624895025069928449,b'@KnutRoneid @Arbeiderpartiet Da blir vel neste utspill fra Sentralstyret i AP endringer for \xc3\xa5 innskrenke p\xc3\xa5virkningsmakten til Oslo og Bergen AP..'
1624894392929513477,b'@sjakhaaheim Forslag: Innf\xc3\xb8r Oslo og Oslofjorden som ny prissone NOnull. All vindkraft og alle utenlands- og elektrifiseringskabler til sokkelen legges dit. 10 000 % p\xc3\xa5slag p\xc3\xa5 overf\xc3\xb8ringer fra NO1 og NO2.'
1624892020266344449,"b'@Adriansen R\xc3\xa5dyr er skadedyr i Oslo-omt\xc3\xa5det, latterlig at det ikke prioriteres \xc3\xa5 f\xc3\xa5 dem fjernet'"
1624892001228578816,b'@ClownWorld_ Oslo Norway'
1624889032135024641,"b'Gruppa Pride Art var Olsokkutstiller p\xc3\xa5 Stiklestad 2022. https://t.co/Qjmgnriag7 N\xc3\xa5 kan du se utstillingen p\xc3\xa5 kunstfestivalen Queer Spirit fra 14.-20. februar 2023, i Kulturkirken Jakob i Oslo. https://t.co/AjRpUsF7F3'"
1624885971551494151,b'@eivindtraedal K\xc3\xb8benhavn er en inkluderende by\xe2\x80\xa6. I motsetning til Oslo. Kanskje du skulle plukke opp noen tips n\xc3\xa5r du f\xc3\xb8rst er der nede.'
1624885399247024129,"b'@ClownWorld_ Oslo, Norway.'"
1624884073494708226,"b'Det er stas \xc3\xa5 se at AKS-reformen som vi startet her i Oslo n\xc3\xa5 er i full gang til \xc3\xa5 bli en nasjonal reform, takket v\xc3\xa6re SV p\xc3\xa5 Stortinget. https://t.co/ObbUF1RFA7'"
1624883861409742849,b'listning radio oslo'
1624880320632832000,"b'@catobellingsen Koffor ikkje tog til Bergen, buss til Stavanger og over J\xc3\xa6ren til Kristiansand og derfra med tog tilbake til Oslo. Litt fiskeri, verft, museum, kyst, etc.  p\xc3\xa5 veien.'"
1624879755584540677,"b'Ledig tid til tatovering neste uke!Tirsdag 14/2Onsdag 15/2Torsdag 16/2Fredag 17/2-supersnill l\xc3\xa6rlingpris p\xc3\xa5 500,--sm\xc3\xa5 i st\xc3\xb8rrelsen-linjer og shading/sortKan ogs\xc3\xa5 gj\xc3\xb8re annen tekst eller custom tatovering. :&gt; L\xc3\xa6rling i Oslo-omr\xc3\xa5det, del gjerne!DM meg for \xc3\xa5 booke!\xe2\x9c\xa8 https://t.co/5RLyDLmTOW'"
1624877471085522946,b'@Cameron_Adrian Adrian\xf0\x9f\x98\x8d Tusen takk kamerat! Blir g\xc3\xb8y det her.Vi ses hjemme i Oslo!'
1624875799244423173,"b'@chezuma_ Homofili ble ansett som en psykisk lidelse til langt opp p\xc3\xa5 70-tallet f\xc3\xb8r det ble korrekt innf\xc3\xb8rt som formell klinisk tilstand. Kj\xc3\xb8nnsinkongruens ble innf\xc3\xb8rt s\xc3\xa5 sent som i 2020, s\xc3\xa5 det er tilgivelig at man ikke er helt oppdatert.https://t.co/ii3e5yRog7'"
1624872010806353923,"b'@torha123 @sportsjourn @GretheFjeldstad Nei, de f\xc3\xa5r ikke gjort noe med parkering i Oslo. Med mindre de graver ned P-hus under nye L\xc3\xb8renhallen. Seri\xc3\xb8st. Det g\xc3\xa5r an. Poenget mitt er at man kan ikke arrangere U7 (el. lign.) type turneringer i haller hvor det ikke er tilst\xc3\xb8tende P-fasiliteter. Dessverre. Tenk gjerne nytt.'"
1624871120401838080,"b'@nesrene @sportsjourn Ok, men U-7 spillere har kanskje bagene sine hjemme og trenger n\xc3\xb8dvendigvis ikke m\xc3\xb8tes ved ishallen. Finnes sikkert et annet sted \xc3\xa5 m\xc3\xb8tes i Ski for \xc3\xa5 ta buss sammen til Jordal. Her m\xc3\xa5 man bare v\xc3\xa6re l\xc3\xb8sningsorientert. Man f\xc3\xa5r ikke gjort noe med parkering i Oslo @GretheFjeldstad'"
1624870990420275200,b'Bj\xc3\xb8rn har laget et kart med over 60 av kattene p\xc3\xa5 Kampen. \xe2\x80\x93 Jeg er et typisk kattemenneske https://t.co/zNiDKCBhDs'
1624869823325904897,b'1.6 millioner passasjerer p\xc3\xa5 @Oslolufthavn i januar 2023      https://t.co/FYpjGd0zNg https://t.co/etUdzKctIj'
1624869430634086400,b'@catobellingsen Mye bra og spennende \xc3\xa5 oppleve i Oslo - https://t.co/4cfOTE6eaL'
1624867072990748672,"b'@asgeirr S\xc3\xa5pass. Det forandrer saken noe.Skulle likevel helst sett at man tagget folk eller sa ifra n\xc3\xa5r man la ut slikt, men ser at det kan v\xc3\xa6re vanskelig p\xc3\xa5 tvers av flere plattformer. Ingen ivrig FB bruker, men jeg ble faktisk med i den gruppen. Interessant \xc3\xa5 se f\xc3\xb8rkrigsbilder av Oslo'"
1624866598442921986,b'@LucyTsQueenOf @PlacerParaTodos \xc2\xa1El Oslo!'
1624864437256552448,"b'Luftkvaliteten n\xc3\xa5 ved Spikersuppa, Oslo: Konsentrasjonen av de minste partiklene er 50.93196 mikrogram per kubikkmeter, som er h\xc3\xb8yt.'"
1624864435197169667,"b'Luftkvaliteten n\xc3\xa5 ved Sofienbergparken, Oslo: Konsentrasjonen av de minste partiklene er 52.977169 mikrogram per kubikkmeter, som er h\xc3\xb8yt.'"
1624861477877211139,"b'@torha123 @sportsjourn Det er ikke realistisk \xc3\xa5 bruke penger p\xc3\xa5 \xc3\xa5 leie buss til 6-\xc3\xa5ringer fra eks Ski, Moss (eller MS, Furuset,H/L) som skal spille turnering p\xc3\xa5 Jordal. Det er bare \xc3\xa5 innse at Oslo Kommune ikke har lagt noe til rette for  parkering og at det er utfordrende.'"
1624861368359833603,"b'@vygruppen Ok, litt billigere hos dere da, koster kr 236,- mot 60,-, hva er \xc3\xa5rsaken? Skal ikke Norge v\xc3\xa6re foregangsland for offentlig transport? Da vi n\xc3\xa5 har stengt ned Oslo for biler?'"
1624855993279475712,b'Not Oslo \xf0\x9f\x98\xad https://t.co/fRm4UeP5Jf'
1624855106721128449,b'@eivindtraedal Enda sykler flere i k\xc3\xb8ben enn i oslo'
1624852489940992002,b'@SimenRafn @HardeMottak Vil sl\xc3\xa5 ett slag for folk p\xc3\xa5 offentlig transport i Oslo og omegn!'
1624852116907884548,"b'@suzi_serken Nei det var ikke mye fart der, kanskje ikke s\xc3\xa5 rart at de sliter med utviklingen. Eller er det kanskje taliban som venter p\xc3\xa5 privatfly til Oslo og bistandsmiddler\xf0\x9f\xa4\x94?.'"
1624850707730817027,"b'VTSost: E6 ved Lindeberg i Lillestr\xc3\xb8m, retning mot Oslo: Vegen er ryddet og \xc3\xa5pen for trafikk.'"
1624850694556602371,b'#Oslo #Adamstuen Tre personer tatt p\xc3\xa5 fersken etter \xc3\xa5 ha brutt seg inn i kjellerlokalene til en bedrift. Politiet er p\xc3\xa5 stedet med to patruljer.'
1624848505758965761,"b'Veldig bra \xc3\xa5 styre anbudsprosessene\xf0\x9f\x91\x87! #beredskap Fryktet kinesisk selskap skulle bygge inn s\xc3\xa5rbarheter i Oslos drikkevannOslo bygger ny vannforsyning. Kravene til utbyggere ble satt slik at et kinesisk selskap ikke skulle vinne anbudet, bekrefter Vann- og avl\xc3\xb8psetaten.'"
1624846484037373952,"b'@ingeborgmhs @TrollkrittIda Nettopp! N\xc3\xa5 er det Akershus og Asker/B\xc3\xa6rum sin tur. Noen er s\xc3\xa5 historiel\xc3\xb8se at de tror de veiene som er lagt under bakken, under sj\xc3\xb8en og i fjell i Oslo har kommet av seg selv, og at det er MDG som har tryllet fram bilfrie gater.'"
1624844252097220609,b'@kaiangell Oslo S til Gardermoen koster 118 kr med Vy.'
1624843218150952961,b'Stor forskjell p\xc3\xa5 dekningen av Arne Treholts d\xc3\xb8d i @nrk og @tv2. @nrk ville helst sluppet \xc3\xa5 ta i saken til fordel for  avsl\xc3\xb8ringer om kineseres interesse for vannforsyningen i Oslo og regelrett vr\xc3\xb8vl fra prinsessen.@tv2 klarte god kritisk vinkling uten \xc3\xa5 klippe Ketil Bj\xc3\xb8rnstad.'
1624842899635548162,"b'@sjakhaaheim Eit av problema er jo at hovedkontor til store bedrifter ligg i Oslo, medan produksjonen ligg ein heil anna plass. D\xc3\xa5 vert verdiane/inntektene registrert i Oslo.'"
1624841973487087617,b'FERSKE prognoser for de ti st\xc3\xb8rste kommunene.https://t.co/8wM1aT34mU'
1624841749930602497,"b'E6 ved Lindeberg i Lillestr\xc3\xb8m, retning mot Oslo: Vegen er ryddet og \xc3\xa5pen for trafikk.'"
1624841619517079557,"b'Lyst til \xc3\xa5 ta med meg klassen til datteren min p\xc3\xa5 avslutningstur for ungdomsskolen. Utgangspunktet er Oslo. Trenger tips. Pris er viktig faktor, selvsagt.'"
1624840563680763904,"b'@andhalse Her er en liten nyvinning fra oss, prognosemodell for de 10 st\xc3\xb8rste kommunene. Ap mister mange av dem:https://t.co/8wM1aT34mU'"
1624840089984532482,b'Hva faen er Oslo Motehus og hvor mange salgsfavoritter kan en butikk egentlig ha?'
1624839952163807232,b'MSFS Norwegian 787 departing Oslo #shorts #msfs #norwegian #oslo #dreaml... https://t.co/rBHXJq9bjb via @YouTube #msfs2020 #MSFS #Oslo #Norwegian #Dreamliner#787'
1624836041445371906,"b'@Andreasmuurholm @ClownWorld_ Oslo, Norway judging by Galleri Pingvin.'"
1624834636743421952,b'@TrollkrittIda Flott \xc3\xa5 se hvor stor forbedring som er gjort med \xc3\xa5 legge trafikken i tunneler under byen. H\xc3\xa5per at Oslo-politikerne ikke stikker kjepper i hjulene for at det samme blir gjennomf\xc3\xb8rt i Asker/B\xc3\xa6rum \xf0\x9f\xa4\x9e'
